model,task,category,passed,reason,tokens_in,tokens_out,cost_usd,latency_ms,stop_reason
qwen3:8b,sql_total_by_country,sql,True,ok,187,62,0.0,11286,stop
qwen3:8b,sql_latest_order_per_customer,sql,True,ok,186,93,0.0,2465,stop
qwen3:8b,sql_running_total_by_month,sql,False,"erro ao executar: BinderException: Binder Error: column ""amount"" must appear in the GROUP BY clause or must be part of an aggregate function.
Either add it",203,85,0.0,2248,stop
qwen3:8b,sql_customers_without_completed_orders,sql,False,"resultado diferente: esperado 2 linhas, obtido 0",174,56,0.0,1555,stop
qwen3:8b,sql_top2_orders_per_customer,sql,True,ok,190,75,0.0,2026,stop
qwen3:8b,sql_reconcile_order_totals,sql,True,ok,186,80,0.0,2197,stop
qwen3:8b,sql_fix_duplicated_join,sql-fix,True,ok,257,51,0.0,1508,stop
qwen3:8b,py_dedup_keep_latest,python,True,ok,130,43,0.0,1250,stop
qwen3:8b,py_flatten_nested_orders,python,True,ok,161,117,0.0,3142,stop
qwen3:8b,py_fix_date_parsing,python-fix,True,ok,199,63,0.0,1891,stop
qwen3:8b,dq_rules_from_profile,data-quality,True,ok,214,103,0.0,2903,stop
qwen3:8b+think,sql_total_by_country,sql,True,ok,181,404,0.0,9974,stop
qwen3:8b+think,sql_latest_order_per_customer,sql,True,ok,180,649,0.0,16040,stop
qwen3:8b+think,sql_running_total_by_month,sql,True,ok,197,794,0.0,20163,stop
qwen3:8b+think,sql_customers_without_completed_orders,sql,True,ok,168,1159,0.0,29029,stop
qwen3:8b+think,sql_top2_orders_per_customer,sql,True,ok,184,1490,0.0,37859,stop
qwen3:8b+think,sql_reconcile_order_totals,sql,False,erro ao executar: BinderException: Binder Error: column amount must appear in the GROUP BY clause or be used in an aggregate function,180,675,0.0,17226,stop
qwen3:8b+think,sql_fix_duplicated_join,sql-fix,True,ok,251,493,0.0,14332,stop
qwen3:8b+think,py_dedup_keep_latest,python,True,ok,124,1081,0.0,31142,stop
qwen3:8b+think,py_flatten_nested_orders,python,True,ok,155,1126,0.0,32762,stop
qwen3:8b+think,py_fix_date_parsing,python-fix,True,ok,193,1202,0.0,34693,stop
qwen3:8b+think,dq_rules_from_profile,data-quality,True,ok,208,1245,0.0,31220,stop
llama3.1:8b,sql_total_by_country,sql,True,ok,179,63,0.0,9807,stop
llama3.1:8b,sql_latest_order_per_customer,sql,True,ok,178,88,0.0,2068,stop
llama3.1:8b,sql_running_total_by_month,sql,False,"resultado diferente: esperado 4 linhas, obtido 4",195,111,0.0,2581,stop
llama3.1:8b,sql_customers_without_completed_orders,sql,True,ok,166,44,0.0,1053,stop
llama3.1:8b,sql_top2_orders_per_customer,sql,True,ok,182,122,0.0,2847,stop
llama3.1:8b,sql_reconcile_order_totals,sql,True,ok,178,80,0.0,1947,stop
llama3.1:8b,sql_fix_duplicated_join,sql-fix,True,ok,249,51,0.0,1435,stop
llama3.1:8b,py_dedup_keep_latest,python,True,ok,124,41,0.0,1129,stop
llama3.1:8b,py_flatten_nested_orders,python,True,ok,155,100,0.0,2538,stop
llama3.1:8b,py_fix_date_parsing,python-fix,False,"esperado datetime.datetime(2025, 9, 10, 0, 0), obtido datetime.datetime(2025, 10, 9, 0, 0)",188,45,0.0,1354,stop
llama3.1:8b,dq_rules_from_profile,data-quality,True,ok,204,164,0.0,3990,stop
